"n","e","p"
2.50580766467172e-14,2.3333375186236e-11,1.20285742974002e-18
7.92405959867008e-14,7.37866174344146e-11,7.66977990781656e-18
2.50580766467172e-13,2.33333812400407e-10,4.89048181271666e-17
7.92405959867008e-13,7.37866560352903e-10,3.11831795018497e-16
2.50580766467172e-12,2.33334058531172e-09,1.98833309494391e-15
7.92405959867008e-12,7.37868129756515e-09,1.26782084431599e-14
2.50580766467172e-11,2.33335059230007e-08,8.08400613242042e-14
7.92405959867008e-11,7.3787451051256e-08,5.15460488301638e-13
2.50580766467172e-10,2.33339127791527e-07,3.28673074522531e-12
6.29410234040288e-10,5.86112818772278e-07,1.44676070403196e-11
1.58104849886544e-09,1.47233143765178e-06,6.08850330795157e-11
3.97146890586824e-09,3.69856054685042e-06,2.44101859942579e-10
4.99938025672213e-09,4.65591102679521e-06,3.28236175259019e-10
9.97366035816307e-09,9.28897845392293e-06,8.95643490200974e-10
1.99038194110668e-08,1.85388781451418e-05,2.39233553863438e-09
3.97209640718649e-08,3.70008252260656e-05,6.27886655848209e-09
7.92418564452663e-08,7.3825171099949e-05,1.62526526026713e-08
1.58101406297455e-07,0.000147319642299933,4.16677069030084e-08
1.99033206564924e-07,0.000185472252876436,5.45375109224816e-08
3.15499695463202e-07,0.00029404664575616,1.01672700037449e-07
4.99934080568851e-07,0.00046602046921582,1.89052552739983e-07
6.29458589212406e-07,0.000586815608496483,2.57708151291974e-07
7.29727457487442e-07,0.00068033701339052,3.14317813007115e-07
9.65971146546113e-07,0.000900709714580917,4.28161278242417e-07
1.53107000415745e-06,0.0014279686968887,7.93908375983023e-07
2.50562661931723e-06,0.00233757838510188,1.47047809262264e-06
3.97141379770464e-06,0.00370621906254852,2.72250655348895e-06
4.82727428613838e-06,0.00450559620535739,3.53389090001248e-06
6.07736284802167e-06,0.00567344710422601,4.80714018224941e-06
7.92625465087822e-06,0.00740114595278117,6.54100611658969e-06
9.97703609874371e-06,0.00931803417078174,8.89402072150793e-06
1.25609035335829e-05,0.0117339132394908,1.20958681812508e-05
1.5214353983086e-05,0.0142155645900104,1.5622269379603e-05
1.99041938317933e-05,0.018603101223294,2.12457870428161e-05
2.50558859045481e-05,0.0234244379366387,2.88852827362377e-05
3.02437264418389e-05,0.0282812577633777,3.71301959805268e-05
3.97148963129425e-05,0.0371512476005378,5.04868306079141e-05
5.00057205192782e-05,0.0467930109817433,6.8655598551991e-05
6.15115619502737e-05,0.0575777464601795,9.05005617276245e-05
6.54540322464242e-05,0.0612739397504235,9.3309199850206e-05
8.48543390899079e-05,0.0794676309209014,0.00012688802896018
0.000101951949234728,0.0955087141591479,0.000162089626763201
0.000110516834614163,0.103546675569176,0.000180501810011235
0.000125584418787288,0.117689820394495,0.000205342653850955
0.000163471959083754,0.153269073805296,0.000279178629384596
0.000199040377780961,0.186686702489313,0.000363000873798527
0.000250584885047483,0.235139272282171,0.000470478092622644
0.000257211369324703,0.24136997105602,0.000487142678816627
0.000259308963120565,0.243342370337574,0.000492447884159281
0.000270613214320415,0.253972663393994,0.000521283235551117
0.000288542839998925,0.270835801940431,0.000567844214205467
0.000297839506320659,0.279580644502542,0.000592372987142679
0.000305804963744281,0.287073907847413,0.000613593808513294
0.000341765071242143,0.320906296672644,0.000675945574834602
0.0012616,1.18686406023441,0.0013448383472725
0.0018947,1.78335501241821,0.00213905879415803
0.0026726,2.51660352709345,0.00328791661465485
0.0036062,3.39710765924084,0.00486680813880914
0.0047097,4.43834100978015,0.00695730870053676
0.0074963,7.06974548657256,0.0130408188740482
0.011197,10.5678398671732,0.0223698664336537
0.015999,15.1129436661708,0.0359574335288978
0.022073,20.8673012712519,0.0549975034327799
0.029477,27.8887346333292,0.0808076394956934
0.042684,40.4304031921818,0.134939458244913
0.0622,58.9975466858395,0.240138559480714
0.073174,69.4563920619768,0.314954437648234
0.075959,72.111803839715,0.335232804893272
0.1,95.0729442666321,0.618824116839346
0.15,143.150730137537,1.86162776182749
0.2,191.81751023069,4.34315316439895
0.25,241.303272766205,8.53077019098739
0.3,291.826787026632,14.82836100362
0.35,343.589993888169,23.6112844838347
0.4,396.806053164583,35.2334290350768
0.45,451.665686794506,50.0324553738609
0.5,508.359616716569,68.3310448133816
0.55,567.089783806973,90.4443889651729
0.6,627.934720628681,116.670827612033
0.65,691.24782371505,147.291224566221
0.7,757.029093066068,182.592685058045
0.75,825.502907433073,222.831107227562
0.8,896.837550879565,268.26238921483
0.85,971.201307469047,319.117463487704
0.9,1048.70636657718,375.627262514043
0.95,1129.52101226745,437.997753089502
1,1213.75743391555,506.422419173636
1.05,1301.58391558497,581.082261889901
1.1,1393.11264665136,662.152040943702
1.15,1488.4558164904,749.781550368244
1.2,1587.78170916559,844.089377106479
1.25,1691.14641936477,945.200349519411
1.3,1798.71823115142,1053.30171014855
1.35,1910.55323921338,1168.39345899388
1.4,2026.81972761416,1290.66283859693
1.45,2147.57379104158,1420.17226313818
1.5,2272.92761887131,1557.04656097865
1.55,2402.93730579118,1701.28573211834
